time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary
2022-06-11 05:20:02.315137,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.7,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:03.318266,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.2,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:04.321664,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.0,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:05.325355,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.8,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:06.328213,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.8,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:07.331337,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.2,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:08.334412,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.4,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:09.337617,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.4,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:10.340395,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.9,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:11.342747,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.2,27.5,3.375,3.398,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
