time,rd6018.Voltage Setting.V,rd6018.Current Setting.A,rd6018.Voltage Output.V,rd6018.Current Output.A,rd6018.Power Output.W,rd6018.External Temperature.C,ut61e.Pack_Voltage.V,rec-q-binary.internal_relay.binary,rec-q-binary.charge_enable.binary,rec-q-binary.system_plus.binary,rec-q-binary.contactor.binary,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary
2022-03-06 15:51:59.528035,29.2,18.0,26.35,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:00.531109,29.2,18.0,26.35,0.0,0.0,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.31,0.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:01.534562,29.2,18.0,26.4,3.31,87.38,16,26.29,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.42,6550.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:02.538053,29.2,18.0,26.59,15.3,406.82,16,26.400000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.42,6550.1,16.0,3.287,3.291,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:03.541524,29.2,18.0,26.65,17.98,479.16,16,26.400000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.42,6550.1,16.0,3.299,3.306,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:04.546072,29.2,18.0,26.65,17.99,479.43,16,26.400000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.42,6536.0,16.0,3.299,3.306,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:05.549387,29.2,18.0,26.65,17.99,479.43,16,26.41,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.42,6536.0,16.0,3.299,3.309,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:06.553161,29.2,18.0,26.66,17.99,479.61,16,26.41,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.0,26.42,6536.0,16.0,3.299,3.309,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:07.556834,29.2,18.0,26.66,17.99,479.61,16,26.41,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.43,6536.0,16.0,3.299,3.309,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:08.560794,29.2,18.0,26.66,17.98,479.34,16,26.41,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.43,6536.0,16.0,3.299,3.309,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:09.564213,29.2,18.0,26.67,17.99,479.79,16,26.42,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.43,6536.0,16.0,3.299,3.309,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:10.566996,29.2,18.0,26.67,17.99,479.79,16,26.42,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.44,6536.0,16.0,3.299,3.309,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:11.569651,29.2,18.0,26.68,17.99,479.97,16,26.42,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.44,6536.0,16.0,3.302,3.309,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:12.573573,29.2,18.0,26.68,17.99,479.97,16,26.42,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.44,6536.0,16.0,3.302,3.309,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:13.577162,29.2,18.0,26.67,17.98,479.52,16,26.42,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.45,6536.0,16.0,3.302,3.309,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:14.581101,29.2,18.0,26.67,17.99,479.79,16,26.43,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.45,6536.0,16.0,3.302,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:15.584771,29.2,18.0,26.68,17.99,479.97,16,26.43,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.45,6536.0,16.0,3.302,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:16.587359,29.2,18.0,26.68,17.99,479.97,16,26.43,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.45,6536.0,16.0,3.302,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:17.591029,29.2,18.0,26.69,17.99,480.15,16,26.43,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.45,6536.0,16.0,3.302,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:18.594671,29.2,18.0,26.69,17.99,480.15,16,26.43,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.45,6536.0,16.0,3.302,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:19.598359,29.2,18.0,26.69,17.99,480.15,16,26.43,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.45,6536.0,16.0,3.302,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:20.601902,29.2,18.0,26.69,17.99,480.15,16,26.44,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.45,6536.0,16.0,3.302,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:21.604306,29.2,18.0,26.68,17.99,479.97,16,26.44,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.46,6536.0,16.0,3.302,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:22.607007,29.2,18.0,26.69,17.98,479.88,17,26.44,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.46,6536.0,16.0,3.302,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:23.609844,29.2,18.0,26.69,17.98,479.88,16,26.44,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.302,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:24.612820,29.2,18.0,26.69,17.98,479.88,17,26.44,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:25.616370,29.2,18.0,26.69,17.98,479.88,16,26.44,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:26.618980,29.2,18.0,26.7,17.99,480.33,16,26.44,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
