time,rd6018.Voltage Setting.V,rd6018.Current Setting.A,rd6018.Voltage Output.V,rd6018.Current Output.A,rd6018.Power Output.W,rd6018.External Temperature.C,ut61e.Pack_Voltage.V,rec-q-binary.internal_relay.binary,rec-q-binary.charge_enable.binary,rec-q-binary.system_plus.binary,rec-q-binary.contactor.binary,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary
2022-03-07 13:25:51.913384,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,0,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,0,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:25:52.918972,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,0,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:25:53.922183,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,0,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:25:54.925592,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,0,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:25:55.929017,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,0,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:25:56.931900,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,0,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:25:57.935861,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,0,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:25:58.939385,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,0,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:25:59.942086,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,1,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:00.946160,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,1,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:01.948921,29.2,18.0,0.0,0.0,0.0,23,26.69,1,1,1,0,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:02.951709,29.2,18.0,1.49,0.0,0.0,23,26.69,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:03.955096,29.2,18.0,19.31,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:04.957765,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,0.0,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:05.961819,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.4,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:06.965633,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.4,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:07.969467,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.4,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:08.973321,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.4,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:09.975903,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.4,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:10.979728,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.4,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:11.983748,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:12.987562,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:13.991956,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:14.994515,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:15.997153,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:17.000465,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:18.004418,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:19.014839,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:20.018514,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:21.022267,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:22.025699,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:23.029308,29.2,18.0,26.72,0.0,0.0,23,26.68,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:24.032938,29.2,18.0,26.76,3.06,81.88,23,26.67,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:25.036477,29.2,18.0,26.95,15.05,405.59,23,26.77,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.335,3.339,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:26.039140,29.2,18.0,27.01,17.98,485.63,23,26.77,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.345,3.351,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:27.042812,29.2,18.0,27.01,17.98,485.63,24,26.77,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.69,6553.5,20.5,3.345,3.351,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:28.045658,29.2,18.0,27.01,17.98,485.63,23,26.77,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.78,17.6,20.5,3.345,3.351,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:29.048511,29.2,18.0,27.01,17.98,485.63,23,26.77,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.78,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:30.052117,29.2,18.0,27.02,17.98,485.81,23,26.77,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.78,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:31.054668,29.2,18.0,27.02,17.98,485.81,23,26.78,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.78,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:32.058214,29.2,18.0,27.02,17.98,485.81,23,26.78,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.78,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:33.061893,29.2,18.0,27.02,17.98,485.81,23,26.78,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.78,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:34.065619,29.2,18.0,27.02,17.98,485.81,23,26.78,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.58,26.78,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:35.069132,29.2,18.0,27.02,17.98,485.81,23,26.78,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.78,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:36.071669,29.2,18.0,27.02,17.98,485.81,23,26.78,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.8,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:37.075192,29.2,18.0,27.02,17.98,485.81,23,26.78,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.8,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:38.078876,29.2,18.0,27.03,17.98,485.99,23,26.78,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.8,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:39.086353,29.2,18.0,27.03,17.98,485.99,23,26.79,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.8,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:40.090584,29.2,18.0,27.03,17.98,485.99,23,26.79,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.8,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:41.093241,29.2,18.0,27.03,17.98,485.99,23,26.79,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.8,17.6,20.5,3.345,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:42.096155,29.2,18.0,27.03,17.98,485.99,23,26.79,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.8,17.6,20.5,3.347,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:43.099446,29.2,18.0,27.03,17.98,485.99,23,26.79,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.8,17.6,20.5,3.347,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:44.102633,29.2,18.0,27.03,17.98,485.99,23,26.79,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.81,17.6,20.5,3.347,3.354,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:45.105227,29.2,18.0,27.04,17.98,486.17,23,26.79,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.59,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:46.113684,29.2,18.0,27.04,17.98,486.17,23,26.79,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:47.117220,29.2,18.0,27.04,17.98,486.17,23,26.8,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:48.120684,29.2,18.0,27.04,17.98,486.17,23,26.8,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:49.124469,29.2,18.0,27.04,17.98,486.17,23,26.8,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:50.128060,29.2,18.0,27.04,17.98,486.17,23,26.8,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:51.131439,29.2,18.0,27.04,17.98,486.17,23,26.8,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:52.134035,29.2,18.0,27.04,17.98,486.17,23,26.8,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:53.136964,29.2,18.0,27.04,17.98,486.17,23,26.8,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:54.139791,29.2,18.0,27.04,17.98,486.17,23,26.8,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:55.142875,29.2,18.0,27.04,17.98,486.17,23,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:56.146304,29.2,18.0,27.05,17.98,486.35,24,26.8,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.6,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:57.148862,29.2,18.0,27.05,17.98,486.35,24,26.8,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.81,17.6,20.5,3.347,3.357,20,20,560,9,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:58.152303,29.2,18.0,27.05,17.98,486.35,24,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.81,17.6,20.5,3.347,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:26:59.155708,29.2,18.0,27.05,17.98,486.35,24,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.81,17.6,20.5,3.347,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:00.159377,29.2,18.0,27.04,17.98,486.17,24,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.82,17.6,20.5,3.347,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:01.163087,29.2,18.0,27.05,17.98,486.35,24,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.82,17.6,20.5,3.347,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:02.166201,29.2,18.0,27.05,17.98,486.35,23,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.82,17.6,20.5,3.347,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:03.169207,29.2,18.0,27.05,17.98,486.35,24,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.82,17.6,20.5,3.347,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:04.172104,29.2,18.0,27.06,17.98,486.53,24,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.82,17.6,20.5,3.347,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:05.175563,29.2,18.0,27.05,17.98,486.35,24,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.82,17.6,20.5,3.347,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:06.178071,29.2,18.0,27.05,17.97,486.08,24,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.83,17.6,20.5,3.347,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:07.240222,29.2,18.0,27.05,17.97,486.08,24,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.83,17.6,20.5,3.35,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:08.243365,29.2,18.0,27.06,17.98,486.53,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.83,17.6,20.5,3.35,3.357,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:09.246952,29.2,18.0,27.06,17.98,486.53,24,26.810000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:10.250572,29.2,18.0,27.06,17.98,486.53,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.61,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:11.253971,29.2,18.0,27.06,17.98,486.53,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:12.256742,29.2,18.0,27.06,17.98,486.53,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:13.260227,29.2,18.0,27.06,17.98,486.53,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:14.263657,29.2,18.0,27.06,17.98,486.53,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:15.267157,29.2,18.0,27.06,17.98,486.53,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:16.270293,29.2,18.0,27.06,17.98,486.53,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:17.273508,29.2,18.0,27.06,17.98,486.53,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:18.276999,29.2,18.0,27.07,17.98,486.71,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:19.279799,29.2,18.0,27.06,17.98,486.53,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.5,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:20.282465,29.2,18.0,27.07,17.98,486.71,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.5,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:21.285957,29.2,18.0,27.07,17.98,486.71,24,26.830000000000002,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.62,26.83,17.5,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-07 13:27:22.289542,29.2,18.0,27.07,17.98,486.71,24,26.82,1,1,0,1,28.7,70.0,23.1,100.0,1,100,1.63,26.83,17.6,20.5,3.35,3.36,20,20,560,10,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
