time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary,ws-can.CVT.V,ws-can.CCT.A,ws-can.CV.V,ws-can.Alternator Temperature.C,ws-can.Alternator Speed.RPM,ws-can.Engine Speed.RPM,ws-can.Field Drive.%
2023-03-06 14:04:32.171384,27.6,279.9,23.1,279.9,92,100,0.0,26.56,-3.8,27.0,3.318,3.323,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:33.174219,27.6,279.9,23.1,279.9,92,100,0.0,26.56,-3.8,27.0,3.318,3.323,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:34.177096,27.6,279.9,23.1,279.9,92,100,0.0,26.56,-3.8,27.0,3.318,3.323,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:35.179954,27.6,279.9,23.1,279.9,92,100,0.0,26.55,-3.8,27.0,3.318,3.321,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:36.186887,27.6,279.9,23.1,279.9,92,100,0.0,26.55,-3.8,27.0,3.318,3.321,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:37.189633,27.6,279.9,23.1,279.9,92,100,0.0,26.57,-3.1,27.0,3.318,3.321,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:38.192947,27.6,279.9,23.1,279.9,92,100,0.0,26.57,-0.6,27.0,3.318,3.321,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:39.195829,27.6,279.9,23.1,279.9,92,100,0.0,26.57,-0.2,27.0,3.321,3.323,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:40.198294,27.6,279.9,23.1,279.9,92,100,0.0,26.57,-0.2,27.0,3.321,3.323,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:41.201019,27.6,279.9,23.1,279.9,92,100,0.0,26.57,0.2,27.0,3.321,3.323,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:42.203937,27.6,279.9,23.1,279.9,92,100,0.0,26.57,1.0,27.0,3.321,3.324,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:43.206889,27.6,279.9,23.1,279.9,92,100,0.0,26.58,3.6,27.0,3.321,3.324,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:44.209805,27.6,279.9,23.1,279.9,92,100,0.0,26.58,3.6,27.0,3.321,3.324,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:45.212938,27.6,279.9,23.1,279.9,92,100,0.0,26.6,8.7,27.0,3.321,3.327,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:46.215944,27.6,279.9,23.1,279.9,92,100,0.0,26.63,19.0,27.0,3.321,3.327,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:47.218845,27.6,279.9,23.1,279.9,92,100,0.0,26.63,19.0,27.0,3.321,3.327,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:48.221712,27.6,279.9,23.1,279.9,92,100,0.0,26.65,28.7,27.0,3.324,3.336,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:49.224590,27.6,279.9,23.1,279.9,92,100,0.0,26.65,28.7,27.0,3.324,3.336,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:50.227438,27.6,279.9,23.1,279.9,92,100,0.0,26.67,36.4,27.0,3.324,3.336,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:51.230465,27.6,279.9,23.1,279.9,92,100,0.0,26.66,40.6,27.0,3.324,3.336,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:52.233416,27.6,279.9,23.1,279.9,92,100,0.0,26.66,40.6,27.0,3.327,3.341,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:53.236458,27.6,279.9,23.1,279.9,92,100,0.0,26.67,41.0,27.0,3.327,3.341,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:54.239153,27.6,279.9,23.1,279.9,92,100,0.0,26.68,40.8,27.0,3.327,3.341,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:55.242089,27.6,279.9,23.1,279.9,92,100,0.0,26.68,40.8,27.0,3.329,3.341,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
